Type,Sample,SiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,TiO2,MnO,P2O5,Cr2O3,SO2,CO2,NiO,SrO,BaO,ZrO2,V2O3
melt,Putirka2008,47.05,16.11,7.96,12.78,11.13,2.18,0.04,0.89,0.15,,,,,,,,,
melt,Putirka2008,47.05,16.11,7.96,12.78,11.13,2.18,0.04,0.89,0.15,,,,,,,,,
