"SiO2","TiO2","Al2O3","FeO","MnO","MgO","CaO","Na2O","K2O","P2O5","SO2","NiO","Cr2O3","Si","Ti","Al","Fe2","Mn","Mg","Ca","Na","K","Ph","S","Ni","Cr3","MgNum","CaNum","AlNum","Ca_Al","Si_sq","Si_Ti","InOPAMchull","ProbSat","State","T_degC","P_kbar","Reference","Type","Sample","Age","Location","order","sample","Eruption.date","analysis","host","MI.diameter","Host.diameter","SiO2_raw","TiO2_raw","Al2O3_raw","FeO_raw","MnO_raw","MgO_raw","CaO_raw","Na2O_raw","K2O_raw","P2O5_raw","Cr2O3_raw","NiO_raw","total","PEC_per","H2O","Li_ppm","B_ppm","K_ppm","Ti_ppm","Sr_ppm","Y_ppm","Zr_ppm","Nb_ppm","Ba_ppm","La_ppm","Ce_ppm","Pr_ppm","Nd_ppm","Sm_ppm","Eu_ppm","Gd_ppm","Tb_ppm","Dy_ppm","Ho_ppm","Er_ppm","Tm_ppm","Yb_ppm","Lu_ppm","P_kbar_H18","Pf_H18","Reference","Type","Sample","Age","Location","order","sample","Eruption.date","analysis","host","MI.diameter","Host.diameter","SiO2_raw","TiO2_raw","Al2O3_raw","FeO_raw","MnO_raw","MgO_raw","CaO_raw","Na2O_raw","K2O_raw","P2O5_raw","Cr2O3_raw","NiO_raw","total","PEC_per","H2O","Li_ppm","B_ppm","K_ppm","Ti_ppm","Sr_ppm","Y_ppm","Zr_ppm","Nb_ppm","Ba_ppm","La_ppm","Ce_ppm","Pr_ppm","Nd_ppm","Sm_ppm","Eu_ppm","Gd_ppm","Tb_ppm","Dy_ppm","Ho_ppm","Er_ppm","Tm_ppm","Yb_ppm","Lu_ppm","P_kbar_H18","Pf_H18"
49.51,3.6,13.92,12.38,0.31,5.64,9.89,3.51,0.7,0.46,0.06,0,0,0.4661,0.0255,0.1545,0.0975,0.0025,0.0792,0.0998,0.0641,0.0084,0.0018,0.0006,0,0,44.8217317487266,0.608907870652837,0.248952626490493,0.645954692556634,0.21724921,0.01188555,TRUE,0.727,"SAT",1137,2.87,"Stock et al., 2018","gl","17MMSG39d_3-5",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stock et al., 2018","gl","17MMSG39d_3-5",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49.3,3.64,13.99,12.46,0.13,5.75,9.98,3.56,0.69,0.45,0.06,0,0,0.4636,0.0257,0.155,0.098,0.001,0.0806,0.1006,0.0648,0.0082,0.0018,0.0005,0,0,45.1287793952968,0.608222490931076,0.250565793727772,0.649032258064516,0.21492496,0.01191452,TRUE,0.808,"SAT",1152,3.05,"Stock et al., 2018","gl","17MMSG39d_4-1",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stock et al., 2018","gl","17MMSG39d_4-1",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50.33,3.7,14.01,11.73,0.34,5.63,9.74,3.37,0.62,0.5,0.05,0,0,0.4743,0.0262,0.1556,0.0924,0.0027,0.0791,0.0983,0.0615,0.0074,0.002,0.0005,0,0,46.1224489795918,0.61514392991239,0.247023337037625,0.631748071979435,0.22496049,0.01242666,TRUE,0.895,"SAT",1129,2.66,"Stock et al., 2018","gl","17MMSG39d_4-2",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stock et al., 2018","gl","17MMSG39d_4-2",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49.71,3.69,14.01,12.24,0.24,5.61,9.96,3.28,0.68,0.52,0.04,0,0.01,0.4691,0.0262,0.1558,0.0966,0.0019,0.0789,0.1007,0.06,0.0082,0.0021,0.0004,0,0.0001,44.957264957265,0.626633478531425,0.249319891182589,0.646341463414634,0.22005481,0.01229042,TRUE,0.89,"SAT",1137,2.67,"Stock et al., 2018","gl","17MMSG39d_4-3",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stock et al., 2018","gl","17MMSG39d_4-3",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49.26,3.65,13.93,12.75,0.23,5.61,9.99,3.31,0.7,0.53,0.05,0,0,0.4651,0.0259,0.155,0.1007,0.0019,0.0789,0.1011,0.0606,0.0084,0.0021,0.0004,0,0,43.9309576837417,0.625231910946197,0.249959683921948,0.652258064516129,0.21631801,0.01204609,TRUE,0.73,"SAT",1141,2.86,"Stock et al., 2018","gl","17MMSG39d_4-4",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stock et al., 2018","gl","17MMSG39d_4-4",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49.95,3.62,13.79,12.32,0.15,5.58,10.01,3.38,0.67,0.48,0.03,0,0.03,0.471,0.0257,0.1532,0.0971,0.0012,0.0784,0.1011,0.0618,0.008,0.0019,0.0003,0,0.0002,44.6723646723647,0.620626151012891,0.245434155719321,0.659921671018277,0.221841,0.0121047,TRUE,0.892,"SAT",1144,2.21,"Stock et al., 2018","gl","17MMSG39d_4-5",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stock et al., 2018","gl","17MMSG39d_4-5",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49.6,3.61,14.08,12.39,0.14,5.62,9.96,3.3,0.74,0.44,0.07,0,0.04,0.4676,0.0256,0.1565,0.0977,0.0011,0.079,0.1006,0.0603,0.0089,0.0017,0.0006,0,0.0003,44.708545557442,0.625233064014916,0.250761095978209,0.642811501597444,0.21864976,0.01197056,TRUE,0.404,"UNSAT",1143,2.83,"Stock et al., 2018","gl","17MMSG39d_5-1",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stock et al., 2018","gl","17MMSG39d_5-1",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49.67,3.59,14.02,12.31,0.11,5.72,10.07,3.37,0.63,0.45,0.05,0,0.02,0.4678,0.0254,0.1556,0.097,0.0009,0.0803,0.1016,0.0615,0.0075,0.0018,0.0005,0,0.0001,45.2904681331077,0.622930717351318,0.249598973371832,0.652956298200514,0.21883684,0.01188212,TRUE,0.898,"SAT",1149,2.67,"Stock et al., 2018","gl","17MMSG39d_5-2",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stock et al., 2018","gl","17MMSG39d_5-2",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49.14,3.61,13.98,12.37,0.34,5.65,10.17,3.41,0.72,0.5,0.06,0,0.03,0.4631,0.0256,0.1553,0.0975,0.0027,0.0794,0.1027,0.0622,0.0087,0.002,0.0006,0,0.0002,44.8841153193895,0.622801697998787,0.251131953428202,0.661300708306504,0.21446161,0.01185536,TRUE,0.565,"SAT",1137,2.69,"Stock et al., 2018","gl","17MMSG39d_5-3",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stock et al., 2018","gl","17MMSG39d_5-3",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49.66,3.65,14.05,12.37,0.14,5.72,9.87,3.35,0.67,0.44,0.07,0,0,0.4679,0.0259,0.156,0.0975,0.0011,0.0803,0.0996,0.0612,0.008,0.0018,0.0007,0,0,45.1631046119235,0.619402985074627,0.250040070524122,0.638461538461538,0.21893041,0.01211861,TRUE,0.891,"SAT",1146,3.08,"Stock et al., 2018","gl","17MMSG39d_5-4",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stock et al., 2018","gl","17MMSG39d_5-4",2015,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
