"SiO2","TiO2","Al2O3","FeO","MnO","MgO","CaO","Na2O","K2O","P2O5","SO2","NiO","Cr2O3","Si","Ti","Al","Fe2","Mn","Mg","Ca","Na","K","Ph","S","Ni","Cr3","MgNum","CaNum","AlNum","Ca_Al","Si_sq","Si_Ti","InOPAMchull","ProbSat","State","T_degC","P_kbar","Reference","Type","Sample","Age","Location","order","sample","Eruption.date","analysis","host","MI.diameter","Host.diameter","SiO2_raw","TiO2_raw","Al2O3_raw","FeO_raw","MnO_raw","MgO_raw","CaO_raw","Na2O_raw","K2O_raw","P2O5_raw","Cr2O3_raw","NiO_raw","total","PEC_per","H2O","Li_ppm","B_ppm","K_ppm","Ti_ppm","Sr_ppm","Y_ppm","Zr_ppm","Nb_ppm","Ba_ppm","La_ppm","Ce_ppm","Pr_ppm","Nd_ppm","Sm_ppm","Eu_ppm","Gd_ppm","Tb_ppm","Dy_ppm","Ho_ppm","Er_ppm","Tm_ppm","Yb_ppm","Lu_ppm","P_kbar_H18","Pf_H18","Reference","Type","Sample","Age","Location","order","sample","Eruption.date","analysis","host","MI.diameter","Host.diameter","SiO2_raw","TiO2_raw","Al2O3_raw","FeO_raw","MnO_raw","MgO_raw","CaO_raw","Na2O_raw","K2O_raw","P2O5_raw","Cr2O3_raw","NiO_raw","total","PEC_per","H2O","Li_ppm","B_ppm","K_ppm","Ti_ppm","Sr_ppm","Y_ppm","Zr_ppm","Nb_ppm","Ba_ppm","La_ppm","Ce_ppm","Pr_ppm","Nd_ppm","Sm_ppm","Eu_ppm","Gd_ppm","Tb_ppm","Dy_ppm","Ho_ppm","Er_ppm","Tm_ppm","Yb_ppm","Lu_ppm","P_kbar_H18","Pf_H18"
50.45,1.19,15.35,9.76,0.19,7.86,12.76,2.1,0.18,0.11,0,0.02,0.03,0.4691,0.0083,0.1682,0.0759,0.0015,0.109,0.1271,0.0378,0.0022,0.0004,0,0.0001,0.0002,58.9507842076798,0.770770163735597,0.263925937549035,0.75564803804994,0.22005481,0.00389353,TRUE,0.592,"SAT",1177,2.3,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",7,"H14","2014-08-31","H14-5-MI1","plg","39.100000000000001","520",49.86,1.229,14.11,10.09,0.201,8.14,12.31,2.1,0.1876,0.1166,0.0295,0.0199,98.7147,5,0.329760598020744,2.35781447950853,0.702064096270105,1587.27750366925,8040.79628726483,179.412141736295,18.9207115930632,59.7182120076601,4.89328409769879,37.5425948102369,5.8177201314225,14.4717562392675,2.08965933732319,9.39578196658105,2.82388525166671,1.04056131472001,3.89838410874276,0.492640201804235,3.45488764278445,0.837696544340082,1.91497418537021,0.232284417061491,2.07796058551177,0.253846806064532,2.75,0.31015027690915,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",7,"H14","2014-08-31","H14-5-MI1","plg","39.100000000000001","520",49.86,1.229,14.11,10.09,0.201,8.14,12.31,2.1,0.1876,0.1166,0.0295,0.0199,98.7147,5,0.329760598020744,2.35781447950853,0.702064096270105,1587.27750366925,8040.79628726483,179.412141736295,18.9207115930632,59.7182120076601,4.89328409769879,37.5425948102369,5.8177201314225,14.4717562392675,2.08965933732319,9.39578196658105,2.82388525166671,1.04056131472001,3.89838410874276,0.492640201804235,3.45488764278445,0.837696544340082,1.91497418537021,0.232284417061491,2.07796058551177,0.253846806064532,2.75,0.31015027690915
50.05,1.19,15.48,9.95,0.18,7.99,12.88,1.98,0.19,0.08,0,0.01,0.02,0.4656,0.0083,0.1697,0.0774,0.0014,0.1108,0.1283,0.0356,0.0023,0.0003,0,0.0001,0.0002,58.8735387885229,0.782794386821232,0.267117897056509,0.756040070713023,0.21678336,0.00386448,TRUE,0.503,"SAT",1184,2.7,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",8,"H14","2014-08-31","H14-5-MI2","plg","80.400000000000006","520",49.32,1.2318,14.23,10.26,0.1898,8.25,12.42,1.96,0.1961,0.0819,0.0236,0.015,98.5067,5,0.212363173471389,0.0887686993411447,0.701655508538496,1578.85277960766,8047.80884370478,177.370160737728,19.1207004728108,61.967114270757,5.11466830098393,37.7669655535144,5.23179707199684,13.4547957228833,1.78560134829047,9.96643602078022,2.90773486542411,1.17174709332522,3.25029602948219,0.49687127309423,3.6514462548745,0.727303024782444,2.05224378123672,0.301444285501634,1.87832699193045,0.294973420724529,3.44,0.324459043512452,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",8,"H14","2014-08-31","H14-5-MI2","plg","80.400000000000006","520",49.32,1.2318,14.23,10.26,0.1898,8.25,12.42,1.96,0.1961,0.0819,0.0236,0.015,98.5067,5,0.212363173471389,0.0887686993411447,0.701655508538496,1578.85277960766,8047.80884370478,177.370160737728,19.1207004728108,61.967114270757,5.11466830098393,37.7669655535144,5.23179707199684,13.4547957228833,1.78560134829047,9.96643602078022,2.90773486542411,1.17174709332522,3.25029602948219,0.49687127309423,3.6514462548745,0.727303024782444,2.05224378123672,0.301444285501634,1.87832699193045,0.294973420724529,3.44,0.324459043512452
50.08,1.12,15.32,10.33,0.15,7.85,12.71,2.17,0.18,0.08,0,0,0,0.4657,0.0079,0.1679,0.0803,0.0012,0.1089,0.1266,0.0391,0.0021,0.0003,0,0,0,57.5581395348837,0.764031382015691,0.264993686868687,0.754020250148898,0.21687649,0.00367903,TRUE,0.514,"SAT",1185,2.58,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",9,"H14","2014-08-31","H14-5-MI3","plg","88.099999999999994","520",49.65,1.1678,14.15,10.72,0.1589,8.16,12.33,2.17,0.1832,0.0824,0.0003,0.0037,99.0977,5,0.312861439840346,3.39283657204346,0.72699593149535,1606.18213302831,7435.65782832851,180.597737056368,18.107537426614,55.3434590877831,4.17548302654827,37.0306021631687,4.94491260667928,12.6486305685319,1.78420538621743,7.75348308611023,2.7154191402058,1.07644904014746,2.5188083815145,0.524078652030315,3.51044629114869,0.714617718401633,1.91281757483493,0.259457181629596,1.91690132072194,0.239664514451335,3.32,0.459903714043514,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",9,"H14","2014-08-31","H14-5-MI3","plg","88.099999999999994","520",49.65,1.1678,14.15,10.72,0.1589,8.16,12.33,2.17,0.1832,0.0824,0.0003,0.0037,99.0977,5,0.312861439840346,3.39283657204346,0.72699593149535,1606.18213302831,7435.65782832851,180.597737056368,18.107537426614,55.3434590877831,4.17548302654827,37.0306021631687,4.94491260667928,12.6486305685319,1.78420538621743,7.75348308611023,2.7154191402058,1.07644904014746,2.5188083815145,0.524078652030315,3.51044629114869,0.714617718401633,1.91281757483493,0.259457181629596,1.91690132072194,0.239664514451335,3.32,0.459903714043514
49.93,1.12,15.46,10.18,0.18,7.87,12.71,2.2,0.19,0.1,0,0.02,0.03,0.464,0.0078,0.1694,0.0791,0.0014,0.109,0.1266,0.0397,0.0022,0.0004,0,0.0002,0.0002,57.9479000531632,0.761274804570054,0.267445532049258,0.747343565525384,0.215296,0.0036192,TRUE,0.426,"UNSAT",1179,2.75,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",10,"H14","2014-08-31","H14-5-MI4","plg","64.200000000000003","520",49.55,1.1628,14.3,10.57,0.1897,8.18,12.32,2.22,0.1923,0.1094,0.0353,0.0236,99.1726,5,0.326099739220746,2.95366196479271,0.666504558030644,1555.10628312122,7445.20032471056,177.315578184174,18.7170210950707,56.1983764054983,4.36577313917372,35.4429055879921,4.6417806739098,13.5966792202924,2.04943949984627,10.5498590417282,3.02548727768936,1.04072602423462,3.14667337000745,0.522034726516477,2.90996310444565,0.742514808175819,2.09672428411252,0.254078078433832,1.85120210439902,0.212986534757045,3.58,0.402538171881719,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",10,"H14","2014-08-31","H14-5-MI4","plg","64.200000000000003","520",49.55,1.1628,14.3,10.57,0.1897,8.18,12.32,2.22,0.1923,0.1094,0.0353,0.0236,99.1726,5,0.326099739220746,2.95366196479271,0.666504558030644,1555.10628312122,7445.20032471056,177.315578184174,18.7170210950707,56.1983764054983,4.36577313917372,35.4429055879921,4.6417806739098,13.5966792202924,2.04943949984627,10.5498590417282,3.02548727768936,1.04072602423462,3.14667337000745,0.522034726516477,2.90996310444565,0.742514808175819,2.09672428411252,0.254078078433832,1.85120210439902,0.212986534757045,3.58,0.402538171881719
49.26,1.14,15.01,10.42,0.15,8.66,13.08,1.97,0.13,0.13,0,0.01,0.04,0.4576,0.0079,0.1643,0.0809,0.0012,0.12,0.1301,0.0355,0.0016,0.0005,0,0,0.0003,59.7312095569935,0.785628019323671,0.264190384306159,0.79184418746196,0.20939776,0.00361504,TRUE,0.856,"SAT",1225,3.82,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",11,"H14","2014-08-31","H14-6-MI1","plg","76.400000000000006","1300",49.05,1.1869,13.86,10.86,0.1562,9.04,12.73,1.99,0.1392,0.1361,0.0385,0.0064,99.4701,5,0.252301558798109,4.17745466371633,0.405594373815962,1143.57911376724,7690.10212282923,143.292812374528,20.7130745270675,61.3843115730333,5.33459742753232,28.1913687848697,4.77057912540061,11.9726430439125,1.65801054439085,8.68126573649613,2.61919611552018,0.956338584143316,3.33522117295708,0.600516259363868,3.2776369351798,0.826867121773832,2.2006049760389,0.365246840621268,2.08363499899837,0.294610887923874,4.81,0.989679608417587,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",11,"H14","2014-08-31","H14-6-MI1","plg","76.400000000000006","1300",49.05,1.1869,13.86,10.86,0.1562,9.04,12.73,1.99,0.1392,0.1361,0.0385,0.0064,99.4701,5,0.252301558798109,4.17745466371633,0.405594373815962,1143.57911376724,7690.10212282923,143.292812374528,20.7130745270675,61.3843115730333,5.33459742753232,28.1913687848697,4.77057912540061,11.9726430439125,1.65801054439085,8.68126573649613,2.61919611552018,0.956338584143316,3.33522117295708,0.600516259363868,3.2776369351798,0.826867121773832,2.2006049760389,0.365246840621268,2.08363499899837,0.294610887923874,4.81,0.989679608417587
49.51,1.11,15.01,10.31,0.17,8.8,12.96,1.88,0.13,0.07,0,0,0.03,0.4598,0.0078,0.1642,0.0801,0.0014,0.1218,0.1289,0.0339,0.0016,0.0003,0,0,0.0002,60.3268945022288,0.791769041769042,0.263141025641026,0.785018270401949,0.21141604,0.00358644,TRUE,0.853,"SAT",1228,4.14,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",12,"H14","2014-08-31","H14-6-MI2","plg","35.899999999999999","1300",49.25,1.164,13.86,10.74,0.181,9.17,12.62,1.89,0.1383,0.0776,0.0336,0.0026,99.3911,5,0.257358125101262,4.01679654643307,0.466383772469415,1091.0894608138,7163.20491588278,142.235385050763,18.9780390862005,48.2955821511856,3.90084376403522,28.3048495975329,4.93125198118071,12.0833894834252,1.63959915895342,9.03876591427112,2.13666377069286,0.928329794846512,3.18643128317112,0.5150348264514,3.87819489967619,0.703738452558357,2.06445307786918,0.277200335973954,2.0415465488517,0.259196052171737,5.03,0.97231514765866,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",12,"H14","2014-08-31","H14-6-MI2","plg","35.899999999999999","1300",49.25,1.164,13.86,10.74,0.181,9.17,12.62,1.89,0.1383,0.0776,0.0336,0.0026,99.3911,5,0.257358125101262,4.01679654643307,0.466383772469415,1091.0894608138,7163.20491588278,142.235385050763,18.9780390862005,48.2955821511856,3.90084376403522,28.3048495975329,4.93125198118071,12.0833894834252,1.63959915895342,9.03876591427112,2.13666377069286,0.928329794846512,3.18643128317112,0.5150348264514,3.87819489967619,0.703738452558357,2.06445307786918,0.277200335973954,2.0415465488517,0.259196052171737,5.03,0.97231514765866
49.26,1.19,15.07,10.38,0.18,8.78,12.93,1.97,0.12,0.05,0,0.02,0.04,0.4572,0.0083,0.1648,0.0806,0.0015,0.1215,0.1286,0.0355,0.0014,0.0002,0,0.0002,0.0003,60.1187530925285,0.783668494820231,0.264951768488746,0.780339805825243,0.20903184,0.00379476,TRUE,0.767,"SAT",1227,4.32,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",13,"H14","2014-08-31","H14-6-MI4","plg","40.600000000000001","1300",48.88,1.2368,13.89,10.79,0.1913,9.13,12.56,1.98,0.1211,0.0524,0.0441,0.0232,99.1766,5,0.24462242618805,4.09231360515105,0.473505053795302,1169.8065515388,8052.18861794501,145.05034152568,21.0084039842186,64.3895578850258,5.52033515728734,29.0528081393311,4.26861279974028,11.882448071596,1.74046620108227,9.07768767300474,2.65403498266895,0.804412408907458,3.30917960628424,0.610045480711274,3.65389182492721,0.743223137689709,2.15912174907921,0.306128172578581,2.36851169003637,0.320861711108547,5.3,0.963243605595311,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",13,"H14","2014-08-31","H14-6-MI4","plg","40.600000000000001","1300",48.88,1.2368,13.89,10.79,0.1913,9.13,12.56,1.98,0.1211,0.0524,0.0441,0.0232,99.1766,5,0.24462242618805,4.09231360515105,0.473505053795302,1169.8065515388,8052.18861794501,145.05034152568,21.0084039842186,64.3895578850258,5.52033515728734,29.0528081393311,4.26861279974028,11.882448071596,1.74046620108227,9.07768767300474,2.65403498266895,0.804412408907458,3.30917960628424,0.610045480711274,3.65389182492721,0.743223137689709,2.15912174907921,0.306128172578581,2.36851169003637,0.320861711108547,5.3,0.963243605595311
49.32,1.14,15.37,9.61,0.15,8.39,13.99,1.76,0.1,0.1,0,0.04,0.04,0.4584,0.008,0.1683,0.0747,0.0012,0.1163,0.1393,0.0317,0.0012,0.0004,0,0.0003,0.0003,60.8900523560209,0.814619883040936,0.268549545236955,0.827688651218063,0.21013056,0.0036672,TRUE,0.591,"SAT",1208,1.9,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",14,"H14","2014-08-31","H14-7-MI1","plg","174.5","530",49.03,1.1917,14.23,10,0.1543,8.74,13.68,1.76,0.1028,0.105,0.0382,0.0396,99.322,5,0.126335840464754,3.34324850503368,0.411377675931893,882.730091678328,7539.02238277858,144.721289782018,20.0488661362841,64.0043733523248,5.4246062764119,28.5600309025772,4.9520868945288,12.5043546624715,1.62333366687801,8.76496116196729,3.01833961678469,0.956833894493099,3.37799138252067,0.601092027012415,3.68113431411383,0.813313355461508,2.56183262309555,0.298751588459723,1.92679702506019,0.278908325868317,2.95,0.431134086880385,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",14,"H14","2014-08-31","H14-7-MI1","plg","174.5","530",49.03,1.1917,14.23,10,0.1543,8.74,13.68,1.76,0.1028,0.105,0.0382,0.0396,99.322,5,0.126335840464754,3.34324850503368,0.411377675931893,882.730091678328,7539.02238277858,144.721289782018,20.0488661362841,64.0043733523248,5.4246062764119,28.5600309025772,4.9520868945288,12.5043546624715,1.62333366687801,8.76496116196729,3.01833961678469,0.956833894493099,3.37799138252067,0.601092027012415,3.68113431411383,0.813313355461508,2.56183262309555,0.298751588459723,1.92679702506019,0.278908325868317,2.95,0.431134086880385
49.34,1.13,15.42,9.5,0.18,8.45,14.09,1.65,0.08,0.09,0,0.03,0.04,0.4588,0.0079,0.1689,0.0739,0.0015,0.1171,0.1404,0.0298,0.001,0.0003,0,0.0002,0.0003,61.3089005235602,0.824911868390129,0.269077584833519,0.831261101243339,0.21049744,0.00362452,TRUE,0.503,"SAT",1207,1.85,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",15,"H14","2014-08-31","H14-7-MI1_b","plg","174.5","530",49.12,1.1779,14.29,9.9,0.1934,8.81,13.8,1.66,0.0864,0.0899,0.0399,0.0299,99.4434,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.96,0.344206376262101,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",15,"H14","2014-08-31","H14-7-MI1_b","plg","174.5","530",49.12,1.1779,14.29,9.9,0.1934,8.81,13.8,1.66,0.0864,0.0899,0.0399,0.0299,99.4434,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.96,0.344206376262101
49.78,1.13,15.41,9.14,0.19,8.27,13.99,1.86,0.1,0.09,0,0,0.04,0.4622,0.0079,0.1686,0.071,0.0015,0.1145,0.1392,0.0334,0.0011,0.0003,0,0,0.0003,61.7250673854447,0.80648899188876,0.267279644895371,0.825622775800712,0.21362884,0.00365138,TRUE,0.425,"UNSAT",1200,1.33,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",16,"H14","2014-08-31","H14-7-MI2","plg","82.099999999999994","530",49.71,1.1775,14.33,9.55,0.1952,8.65,13.74,1.87,0.1009,0.0901,0.0461,0.0046,99.6826,5,0.13186666102542,3.17463875895235,0.487178665552382,895.443522270792,7234.29414182344,148.622190446085,19.5499499311035,59.8077371759062,5.19100778478395,29.3771392751146,4.71900013488688,12.3584394355144,1.78886643965529,8.89476387576668,2.82952496128427,1.02358322312538,3.02729384494262,0.610215026575551,3.42040408945445,0.832255309438031,2.24914677885524,0.315231020405692,2.13431330848371,0.273706579492178,2.08,0.292430940386854,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",16,"H14","2014-08-31","H14-7-MI2","plg","82.099999999999994","530",49.71,1.1775,14.33,9.55,0.1952,8.65,13.74,1.87,0.1009,0.0901,0.0461,0.0046,99.6826,5,0.13186666102542,3.17463875895235,0.487178665552382,895.443522270792,7234.29414182344,148.622190446085,19.5499499311035,59.8077371759062,5.19100778478395,29.3771392751146,4.71900013488688,12.3584394355144,1.78886643965529,8.89476387576668,2.82952496128427,1.02358322312538,3.02729384494262,0.610215026575551,3.42040408945445,0.832255309438031,2.24914677885524,0.315231020405692,2.13431330848371,0.273706579492178,2.08,0.292430940386854
49.98,0.98,15.5,8.97,0.15,8.41,13.9,1.89,0.12,0.06,0,0,0.03,0.4631,0.0069,0.1693,0.0695,0.0012,0.1162,0.138,0.0339,0.0014,0.0002,0,0,0.0002,62.5740441572429,0.802792321116929,0.267710309930424,0.815121086828116,0.21446161,0.00319539,TRUE,0.685,"SAT",1204,1.67,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",17,"H14","2014-08-31","H14-7-MI3","plg","63.399999999999999","530",49.7,1.0239,14.35,9.33,0.1608,8.76,13.58,1.9,0.1234,0.0595,0.0331,NA,99.2143,5,0.127553116043709,3.0446980466301,0.441959840633007,920.941643938661,6931.63958031838,148.268426424985,18.5382824631776,57.9207387135174,5.18646502976208,30.988225658271,4.71863014309998,11.9603249406846,1.61737188949742,7.83962246490932,2.46187199525513,0.952055323099418,2.93465275154321,0.477453608137404,3.34077733299522,0.659639243028075,2.04640765599572,0.245461763023389,1.99851424195567,0.268466611764296,2.44,0.400521794816971,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",17,"H14","2014-08-31","H14-7-MI3","plg","63.399999999999999","530",49.7,1.0239,14.35,9.33,0.1608,8.76,13.58,1.9,0.1234,0.0595,0.0331,NA,99.2143,5,0.127553116043709,3.0446980466301,0.441959840633007,920.941643938661,6931.63958031838,148.268426424985,18.5382824631776,57.9207387135174,5.18646502976208,30.988225658271,4.71863014309998,11.9603249406846,1.61737188949742,7.83962246490932,2.46187199525513,0.952055323099418,2.93465275154321,0.477453608137404,3.34077733299522,0.659639243028075,2.04640765599572,0.245461763023389,1.99851424195567,0.268466611764296,2.44,0.400521794816971
49.8,1.51,14.92,11.33,0.2,7.53,12.09,2.24,0.2,0.17,0,0,0.01,0.4654,0.0106,0.1643,0.0885,0.0016,0.1048,0.1211,0.0405,0.0024,0.0007,0,0,0.0001,54.216244180031,0.749381188118812,0.260917897411466,0.737066342057212,0.21659716,0.00493324,TRUE,0.344,"UNSAT",1177,3.05,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",18,"H14","2014-08-31","H14-8-MI1","plg","62","1000",49.43,1.5225,14.4,11.45,0.2039,7.61,11.89,2.23,0.2021,0.1767,0.0139,NA,99.4608,2,0.392318226866095,3.92483658377976,0.888504645271169,1703.81519590016,9725.0797765919,191.492457854269,22.3250918324693,86.3463664273705,8.21732272725854,39.1704921053237,6.26858210791376,16.8920326359632,2.18882423482861,11.1735235734855,3.712314560359,1.45578045952731,4.72094985871754,0.612319806829607,4.12617934800379,0.871966916144147,2.31707082311662,0.318128397225419,2.22867053904493,0.364398716161582,3.64,0.575832119548213,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",18,"H14","2014-08-31","H14-8-MI1","plg","62","1000",49.43,1.5225,14.4,11.45,0.2039,7.61,11.89,2.23,0.2021,0.1767,0.0139,NA,99.4608,2,0.392318226866095,3.92483658377976,0.888504645271169,1703.81519590016,9725.0797765919,191.492457854269,22.3250918324693,86.3463664273705,8.21732272725854,39.1704921053237,6.26858210791376,16.8920326359632,2.18882423482861,11.1735235734855,3.712314560359,1.45578045952731,4.72094985871754,0.612319806829607,4.12617934800379,0.871966916144147,2.31707082311662,0.318128397225419,2.22867053904493,0.364398716161582,3.64,0.575832119548213
49.83,1.48,14.84,11.33,0.2,7.58,12.1,2.26,0.2,0.16,0,0,0.01,0.4655,0.0104,0.1634,0.0885,0.0016,0.1056,0.1211,0.0409,0.0023,0.0006,0,0,0.0001,54.4049459041731,0.747530864197531,0.259818731117825,0.741126070991432,0.21669025,0.0048412,TRUE,0.344,"UNSAT",1181,3.07,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",19,"H14","2014-08-31","H14-8-MI1_R","plg","62","530",49.47,1.4979,14.32,11.45,0.2033,7.67,11.9,2.25,0.1975,0.1653,0.0126,0.0019,99.4862,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.62,0.698408477863531,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",19,"H14","2014-08-31","H14-8-MI1_R","plg","62","530",49.47,1.4979,14.32,11.45,0.2033,7.67,11.9,2.25,0.1975,0.1653,0.0126,0.0019,99.4862,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.62,0.698408477863531
49.97,1.53,14.85,11.49,0.21,7.34,12.14,2.1,0.2,0.16,0,0,0,0.468,0.0108,0.1639,0.09,0.0017,0.1025,0.1218,0.0382,0.0024,0.0006,0,0,0,53.2467532467532,0.76125,0.259376483620826,0.7431360585723,0.219024,0.0050544,TRUE,0.427,"UNSAT",1170,2.56,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",20,"H14","2014-08-31","H14-8-MI2","plg","80.400000000000006","1000",49.33,1.5398,14.29,11.56,0.2145,7.39,11.91,2.07,0.2051,0.1562,NA,NA,99.034,2,0.405996482750101,3.87560982726069,0.797514193632121,1689.33260432912,10252.3606269899,192.625786456931,23.5427341019206,89.4558803639608,8.44130585927072,48.6915744850232,8.64572124414057,20.0343398396193,2.67421029693697,11.9605355955922,3.20195050580037,1.59372333558546,4.16032781924242,0.676307208847955,4.01614708285353,0.965988454721281,2.58596164035255,0.304980181666721,1.8220870899583,0.314684739217455,3.07,0.3347230586946,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",20,"H14","2014-08-31","H14-8-MI2","plg","80.400000000000006","1000",49.33,1.5398,14.29,11.56,0.2145,7.39,11.91,2.07,0.2051,0.1562,NA,NA,99.034,2,0.405996482750101,3.87560982726069,0.797514193632121,1689.33260432912,10252.3606269899,192.625786456931,23.5427341019206,89.4558803639608,8.44130585927072,48.6915744850232,8.64572124414057,20.0343398396193,2.67421029693697,11.9605355955922,3.20195050580037,1.59372333558546,4.16032781924242,0.676307208847955,4.01614708285353,0.965988454721281,2.58596164035255,0.304980181666721,1.8220870899583,0.314684739217455,3.07,0.3347230586946
49.23,0.96,14.53,9.73,0.18,9.62,13.85,1.65,0.09,0.08,0,0.02,0.06,0.4561,0.0067,0.1586,0.0754,0.0014,0.1328,0.1374,0.0296,0.0011,0.0003,0,0.0001,0.0004,63.7848222862632,0.822754491017964,0.258012038392712,0.866330390920555,0.20802721,0.00305587,FALSE,0.592,"SAT",1275,4,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",21,"H14","2014-08-31","H14-11-MI1","olv","49.200000000000003","750",49.06,0.9861,14.87,9.87,0.1885,8.04,14.17,1.69,0.0952,0.0806,0.0619,0.0167,99.3707,5,0.137453916780995,3.17683735083717,0.411254576831409,720.362176146319,6249.73991027496,128.763577233021,19.392797832271,51.3446212789414,4.02504666644941,20.6258986687533,3.73946920073235,10.1586043937788,1.280461232672,7.74210613768153,2.30192062704503,0.850479570645521,2.49933808988965,0.473644966233164,3.10949274840325,0.733913672739732,2.11078811918455,0.313371267065021,2.61789551854037,0.273215796294924,4.46,0.372390278266982,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",21,"H14","2014-08-31","H14-11-MI1","olv","49.200000000000003","750",49.06,0.9861,14.87,9.87,0.1885,8.04,14.17,1.69,0.0952,0.0806,0.0619,0.0167,99.3707,5,0.137453916780995,3.17683735083717,0.411254576831409,720.362176146319,6249.73991027496,128.763577233021,19.392797832271,51.3446212789414,4.02504666644941,20.6258986687533,3.73946920073235,10.1586043937788,1.280461232672,7.74210613768153,2.30192062704503,0.850479570645521,2.49933808988965,0.473644966233164,3.10949274840325,0.733913672739732,2.11078811918455,0.313371267065021,2.61789551854037,0.273215796294924,4.46,0.372390278266982
50.22,0.79,14.56,9.28,0.19,9.84,12.77,2.1,0.16,0.05,0,0.02,0.01,0.4625,0.0055,0.158,0.0715,0.0015,0.1352,0.126,0.0376,0.0018,0.0002,0,0.0002,0,65.4088050314465,0.770171149144254,0.254633360193392,0.79746835443038,0.21390625,0.00254375,FALSE,0.497,"UNSAT",1273,5.51,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",22,"H14","2014-08-31","H14a-1-MI1","plg","26.800000000000001","1000",50.02,0.8294,13.42,9.67,0.1972,10.27,12.43,2.12,0.1615,0.0559,0.0066,0.0239,99.4317,5,0.342425524674485,8.70784686905594,0.245754401006973,1173.35230767259,4993.7486906657,144.584532640194,10.624297220465,21.9600130920077,2.06490920663286,28.6459490006643,3.51307455767611,9.7237294004779,1.03068279666556,5.77029762887096,2.35126717220909,1.01822577785285,2.17291846495052,0.340658626914323,1.6562077825802,0.359831616913878,1.00895671697146,0.129136486174473,1.02245913079623,0.133011369310987,5.29,0.0650804462714882,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",22,"H14","2014-08-31","H14a-1-MI1","plg","26.800000000000001","1000",50.02,0.8294,13.42,9.67,0.1972,10.27,12.43,2.12,0.1615,0.0559,0.0066,0.0239,99.4317,5,0.342425524674485,8.70784686905594,0.245754401006973,1173.35230767259,4993.7486906657,144.584532640194,10.624297220465,21.9600130920077,2.06490920663286,28.6459490006643,3.51307455767611,9.7237294004779,1.03068279666556,5.77029762887096,2.35126717220909,1.01822577785285,2.17291846495052,0.340658626914323,1.6562077825802,0.359831616913878,1.00895671697146,0.129136486174473,1.02245913079623,0.133011369310987,5.29,0.0650804462714882
